"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.3861,0,-0.00091333,-0.00052104,0.62502,-4.9912e-16,-9.0932,8.9173e-15,-3.7087e-16,-5.2021e-16,1.4095e-10,-1,5.9604e-08,0.21494,-1.2273e-23,-0.0098034
0.38992,0,-0.00095959,-0.0004169,0.62854,4.9367e-16,-8.9381,2.0774e-14,-3.71e-16,4.4254e-16,1.5115e-10,-1,6.1439e-08,0.2163,-1.2273e-23,-0.0098067
0.3937,0,-0.0010041,-0.00031995,0.63202,6.698e-17,-8.7858,-4.3397e-15,-3.701e-16,7.8048e-17,1.6115e-10,-1,6.322e-08,0.21766,-1.2273e-23,-0.0098101
0.39742,0,-0.0010464,-0.00023211,0.63546,6.635e-16,-8.6356,2.2983e-14,-3.6892e-16,6.0299e-16,1.6638e-10,-1,6.322e-08,0.21902,-1.2273e-23,-0.0098136
0.40109,0,-0.0010868,-0.0001508,0.63888,-3.0709e-16,-8.49,-1.4069e-14,-3.6835e-16,-2.6897e-16,1.7126e-10,-1,6.322e-08,0.22037,-1.2273e-23,-0.0098172
0.40472,0,-0.0011256,-7.5391e-05,0.64226,2.3795e-16,-13.393,8.9941e-15,-3.6845e-16,2.1294e-16,1.758e-10,-1,6.322e-08,0.22173,-1.2273e-23,-0.009821
0.40832,0,-0.0011629,-5.6529e-06,0.64562,-9.9298e-16,-13.212,1.3536e-15,-3.6976e-16,-9.9683e-16,1.7998e-10,-1,6.322e-08,0.22309,-1.2273e-23,-0.0098248
0.41187,0,-0.0011982,5.777e-05,0.64894,6.8629e-16,-13.033,3.9033e-15,-3.703e-16,6.7494e-16,1.8888e-10,-1,6.4952e-08,0.22444,-1.2273e-23,-0.0098287
0.41538,0,-0.0012313,0.00011518,0.65223,-8.0193e-17,-12.859,-1.3246e-14,-3.6925e-16,-4.0925e-17,2.0239e-10,-1,6.8285e-08,0.2258,-1.2273e-23,-0.0098327
0.41884,0,-0.0012627,0.000168,0.6555,-3.1183e-17,-12.688,4.0017e-16,-3.6937e-16,-3.239e-17,2.1544e-10,-1,7.1463e-08,0.22716,-1.2273e-23,-0.0098367
0.42226,0,-0.0012924,0.00021642,0.65874,-3.7463e-16,-12.52,-1.0836e-14,-3.6998e-16,-3.4146e-16,2.2338e-10,-1,7.3e-08,0.22852,-1.2273e-23,-0.0098409
0.42564,0,-0.0013203,0.00026061,0.66196,9.9517e-16,-12.353,1.5028e-14,-3.69e-16,9.4855e-16,2.2631e-10,-1,7.3e-08,0.22987,-1.2273e-23,-0.009845
0.42896,0,-0.0013456,0.00029944,0.66514,4.7371e-16,-12.192,1.105e-14,-3.6679e-16,4.3904e-16,2.2894e-10,-1,7.3e-08,0.23123,-1.2273e-23,-0.0098493
0.43225,0,-0.0013692,0.00033472,0.66831,-6.0351e-17,-12.033,3.6844e-15,-3.6621e-16,-7.2022e-17,2.3122e-10,-1,7.3e-08,0.23259,-1.2273e-23,-0.0098536
0.4355,0,-0.001391,0.00036665,0.67145,2.0676e-16,-11.878,1.283e-15,-3.66e-16,2.0266e-16,2.3312e-10,-1,7.3e-08,0.23394,-1.2273e-23,-0.0098579
0.43871,0,-0.001411,0.00039538,0.67456,-4.678e-16,-11.725,7.6605e-15,-3.6646e-16,-4.9244e-16,2.347e-10,-1,7.3e-08,0.2353,-1.2273e-23,-0.0098622
0.44188,0,-0.0014288,0.0004204,0.67766,7.0044e-17,-11.573,-2.7004e-14,-3.6697e-16,1.5736e-16,2.3598e-10,-1,7.3e-08,0.23666,-1.2273e-23,-0.0098666
0.445,0,-0.0014444,0.00044228,0.68073,-2.5848e-16,-11.427,1.057e-14,-3.6718e-16,-2.9279e-16,2.3693e-10,-1,7.3e-08,0.23802,-1.2273e-23,-0.009871
0.44809,0,-0.0014583,0.00046162,0.68378,-7.5674e-16,-11.283,-7.079e-15,-3.6875e-16,-7.337e-16,2.3753e-10,-1,7.3e-08,0.23937,-1.2273e-23,-0.0098754
0.45114,0,-0.0014704,0.00047857,0.68681,4.1861e-16,-11.141,9.9036e-15,-3.6927e-16,3.8633e-16,2.3786e-10,-1,7.3e-08,0.24073,-1.2273e-23,-0.0098798
0.45416,0,-0.0014806,0.00049309,0.68981,9.8147e-16,-11,7.5308e-15,-3.6725e-16,9.5691e-16,2.3791e-10,-1,7.3e-08,0.24209,-1.2273e-23,-0.0098842
0.45713,0,-0.0014886,0.00050488,0.6928,-2.4366e-16,-10.864,-1.4258e-14,-3.6612e-16,-1.9723e-16,2.3768e-10,-1,7.3e-08,0.24344,-1.2273e-23,-0.0098887
0.46007,0,-0.0014949,0.00051481,0.69577,-2.1946e-16,-10.73,-3.9315e-15,-3.6672e-16,-2.0669e-16,2.3718e-10,-1,7.3e-08,0.2448,-1.2273e-23,-0.0098931
0.46297,0,-0.0014996,0.00052298,0.69872,-6.3962e-17,-10.598,-1.1497e-14,-3.6706e-16,-2.6723e-17,2.3643e-10,-1,7.3e-08,0.24616,-1.2273e-23,-0.0098975
0.46584,0,-0.0015028,0.00052949,0.70165,8.3234e-16,-10.468,6.1598e-15,-3.6591e-16,8.1247e-16,2.3545e-10,-1,7.3e-08,0.24751,-1.2273e-23,-0.0099019
0.46867,0,-0.001504,0.00053403,0.70457,-3.0573e-16,-10.339,-3.5437e-15,-3.6516e-16,-2.9435e-16,2.3905e-10,-1,7.4505e-08,0.24887,-1.2273e-23,-0.0099062
0.47147,0,-0.0015037,0.00053708,0.70746,-1.4954e-16,-10.215,1.6214e-14,-3.6587e-16,-2.0126e-16,2.423e-10,-1,7.5981e-08,0.25023,-1.2273e-23,-0.0099106
0.47424,0,-0.0015022,0.00053888,0.71034,8.6556e-17,-10.092,6.8022e-16,-3.6604e-16,8.4401e-17,2.4066e-10,-1,7.5981e-08,0.25159,-1.2273e-23,-0.0099149
0.47697,0,-0.0014994,0.00053951,0.7132,-2.7787e-16,-9.9715,9.8886e-15,-3.6636e-16,-3.0895e-16,2.3884e-10,-1,7.5981e-08,0.25294,-1.2273e-23,-0.0099192
0.47968,0,-0.0014954,0.00053891,0.71605,4.3961e-16,-9.8511,1.9323e-14,-3.6626e-16,3.7936e-16,2.3683e-10,-1,7.5981e-08,0.2543,-1.2273e-23,-0.0099234
0.48234,0,-0.0014901,0.00053711,0.71888,-5.3992e-16,-9.7345,-3.8138e-15,-3.6647e-16,-5.2814e-16,2.3472e-10,-1,7.5981e-08,0.25566,-1.2273e-23,-0.0099276
